instance,CS2SA*,CS2SA-R
eil76_n75_bounded-strongly-corr_01,3423,3842
kroA100_n99_bounded-strongly-corr_01,4420,4594
ch130_n129_bounded-strongly-corr_01,8982,9239
u159_n158_bounded-strongly-corr_01,8459,8560
a280_n279_bounded-strongly-corr_01,17726,18044
u574_n573_bounded-strongly-corr_01,26173,25383
u724_n723_bounded-strongly-corr_01,49713,47759
dsj1000_n999_bounded-strongly-corr_01,144219,144219
rl1304_n1303_bounded-strongly-corr_01,75699,73557
fl1577_n1576_bounded-strongly-corr_01,88006,84590
d2103_n2102_bounded-strongly-corr_01,118845,117960
pcb3038_n3037_bounded-strongly-corr_01,145338,145955
fnl4461_n4460_bounded-strongly-corr_01,240240,240726
pla7397_n7396_bounded-strongly-corr_01,315154,325852
rl11849_n11848_bounded-strongly-corr_01,657842,643738
usa13509_n13508_bounded-strongly-corr_01,682268,700243
brd14051_n14050_bounded-strongly-corr_01,802424,799957
d15112_n15111_bounded-strongly-corr_01,870301,871284
d18512_n18511_bounded-strongly-corr_01,964757,971153
pla33810_n33809_bounded-strongly-corr_01,1778827,1668597
eil76_n375_uncorr-similar-weights_05,18753,22032
kroA100_n495_uncorr-similar-weights_05,39271,43712
ch130_n645_uncorr-similar-weights_05,50695,60864
u159_n790_uncorr-similar-weights_05,58090,60377
a280_n1395_uncorr-similar-weights_05,107696,114087
u574_n2865_uncorr-similar-weights_05,248584,248402
u724_n3615_uncorr-similar-weights_05,309636,303025
dsj1000_n4995_uncorr-similar-weights_05,332883,339136
rl1304_n6515_uncorr-similar-weights_05,585600,578064
fl1577_n7880_uncorr-similar-weights_05,636425,584764
d2103_n10510_uncorr-similar-weights_05,842520,849770
pcb3038_n15185_uncorr-similar-weights_05,1193738,1159828
fnl4461_n22300_uncorr-similar-weights_05,1628414,1588086
pla7397_n36980_uncorr-similar-weights_05,3713314,3798791
rl11849_n59240_uncorr-similar-weights_05,4710135,4668813
usa13509_n67540_uncorr-similar-weights_05,8115168,7930181
brd14051_n70250_uncorr-similar-weights_05,6654162,6667470
d15112_n75555_uncorr-similar-weights_05,7606856,7561526
d18512_n92555_uncorr-similar-weights_05,7579996,7324264
pla33810_n169045_uncorr-similar-weights_05,15704051,14421765
eil76_n750_uncorr_10,87577,88099
kroA100_n990_uncorr_10,155585,155878
ch130_n1290_uncorr_10,197555,206561
u159_n1580_uncorr_10,242201,249911
a280_n2790_uncorr_10,421713,427056
u574_n5730_uncorr_10,953997,952984
u724_n7230_uncorr_10,1191819,1181819
dsj1000_n9990_uncorr_10,1468858,1464474
rl1304_n13030_uncorr_10,2198943,2165629
fl1577_n15760_uncorr_10,2505291,2382050
d2103_n21020_uncorr_10,3373781,3331873
pcb3038_n30370_uncorr_10,4612956,4514051
fnl4461_n44600_uncorr_10,6545335,6463969
pla7397_n73960_uncorr_10,13197756,13808867
rl11849_n118480_uncorr_10,18504773,18203774
usa13509_n135080_uncorr_10,26436928,26251061
brd14051_n140500_uncorr_10,23908555,23797888
d15112_n151110_uncorr_10,27183354,27160800
d18512_n185110_uncorr_10,27823470,27269855
pla33810_n338090_uncorr_10,58106820,55631820
